loss,value
53.30653381347656,-0.30058586597442627
47.6938591003418,-0.3070298135280609
49.288917541503906,-0.3366287350654602
50.54673767089844,-0.37540626525878906
47.511539459228516,-0.36384469270706177
45.205684661865234,-0.37221747636795044
49.6572265625,-0.4458482265472412
50.08226013183594,-0.42690718173980713
51.52455520629883,-0.454810231924057
46.7314453125,-0.43631038069725037
44.16828918457031,-0.47938990592956543
47.359275817871094,-0.5360478162765503
51.17713928222656,-0.5482796430587769
49.77449035644531,-0.658738911151886
48.314937591552734,-0.7267712950706482
42.25912094116211,-0.7324063777923584
46.3858757019043,-0.7481570243835449
39.537811279296875,-0.9655284285545349
40.32724380493164,-0.9411218166351318
35.68962097167969,-1.220587134361267
40.89730453491211,-1.2827147245407104
35.54787826538086,-1.6081173419952393
36.100616455078125,-1.6806225776672363
36.418678283691406,-1.84709894657135
35.570716857910156,-3.014692783355713
33.99370193481445,-2.776933193206787
33.737640380859375,-2.4776620864868164
36.32871627807617,-2.601726770401001
32.731727600097656,-2.5703437328338623
34.388755798339844,-2.379056692123413
30.8153076171875,-2.274585247039795
28.78594207763672,-2.957446336746216
29.25389862060547,-2.301333427429199
25.514955520629883,-2.7712085247039795
21.775659561157227,-2.814923048019409
24.98165512084961,-2.9261298179626465
21.748641967773438,-3.2142319679260254
20.49443817138672,-3.499070644378662
19.21955108642578,-3.5802292823791504
17.02997589111328,-4.188297748565674
16.350269317626953,-4.512387752532959
13.269674301147461,-4.523480415344238
9.636229515075684,-5.375443935394287
10.343785285949707,-6.056436538696289
9.398780822753906,-7.282852649688721
9.661996841430664,-6.867397308349609
12.614416122436523,-6.89995002746582
12.941767692565918,-7.328594207763672
10.31583023071289,-6.539499282836914
8.670479774475098,-5.9761810302734375
8.658224105834961,-5.808866024017334
8.02813720703125,-5.394333362579346
8.01370620727539,-5.266299247741699
6.57304573059082,-5.37907600402832
9.993444442749023,-5.230708122253418
7.346412181854248,-5.6270432472229
8.8734712600708,-5.645660400390625
7.570969104766846,-5.666614532470703
5.697016716003418,-5.952027797698975
9.480269432067871,-5.4619460105896
8.864169120788574,-5.856443405151367
6.833251476287842,-6.28044319152832
5.949273586273193,-6.3759765625
7.759066104888916,-6.527775287628174
6.244693756103516,-6.415637016296387
7.747311592102051,-6.568220138549805
7.533697605133057,-6.392890453338623
7.6177144050598145,-6.52714729309082
7.670810699462891,-6.35689640045166
7.365323543548584,-6.33390998840332
5.643405914306641,-6.133669376373291
6.504243850708008,-5.927247524261475
6.1710638999938965,-6.443490505218506
5.721936225891113,-6.49270486831665
7.401025772094727,-6.217489242553711
5.136071681976318,-6.560732841491699
6.5695481300354,-5.87797737121582
5.151472091674805,-6.59340763092041
6.285642147064209,-6.497248649597168
6.7007222175598145,-6.640171527862549
5.5413818359375,-6.539157867431641
5.901462554931641,-6.682147979736328
4.989099502563477,-6.1454572677612305
4.914389610290527,-6.535312652587891
5.0883870124816895,-6.591578960418701
4.9388837814331055,-6.880846977233887
4.95370626449585,-6.763369083404541
4.267413139343262,-6.811399459838867
5.243397235870361,-6.95913553237915
4.843564033508301,-6.82331657409668
4.584621906280518,-6.632277965545654
3.446431875228882,-6.817469596862793
3.681267023086548,-6.845306873321533
4.5279741287231445,-6.852927207946777
4.21986198425293,-6.933643817901611
4.05571174621582,-6.608673095703125
4.566691875457764,-6.90431022644043
3.8031206130981445,-6.923114776611328
4.91845703125,-6.861754894256592
4.173329830169678,-6.666469097137451
3.739408016204834,-6.631927967071533
3.9754347801208496,-6.583672046661377
3.707042932510376,-6.238764762878418
2.823122978210449,-6.840368747711182
2.9864068031311035,-6.542645454406738
4.076413154602051,-6.8438944816589355
3.1038765907287598,-6.909960746765137
2.491250514984131,-7.099145412445068
3.459385633468628,-6.979978084564209
2.61655855178833,-6.821990489959717
2.62459659576416,-6.938929557800293
3.2191195487976074,-6.697173595428467
2.8798513412475586,-6.993834018707275
3.0509865283966064,-6.971001148223877
3.053708791732788,-6.85284423828125
2.3168251514434814,-6.801243782043457
2.659996271133423,-7.104272365570068
3.3360979557037354,-6.650485992431641
2.694667339324951,-7.036406993865967
2.6722235679626465,-6.954913139343262
2.7256078720092773,-6.774139404296875
2.7487642765045166,-6.986522197723389
2.0028481483459473,-7.085492134094238
2.9270899295806885,-7.157945156097412
2.701411724090576,-7.062366962432861
3.002797842025757,-6.875442981719971
2.660510540008545,-7.6182332038879395
2.9532458782196045,-7.0415568351745605
2.2753801345825195,-7.063344955444336
2.2686731815338135,-6.59677267074585
2.425445795059204,-7.1455397605896
2.3793368339538574,-7.050360679626465
2.5073256492614746,-6.856110095977783
2.2806529998779297,-6.9000749588012695
2.2650973796844482,-6.883584022521973
3.2562177181243896,-7.1957106590271
4.077857971191406,-7.367332935333252
3.247072219848633,-7.242584228515625
1.9181501865386963,-6.968857288360596
2.2205541133880615,-7.333215713500977
1.959985375404358,-7.015058517456055
2.577178955078125,-7.04444694519043
2.3493661880493164,-7.420865535736084
2.7799086570739746,-7.013298511505127
2.3315203189849854,-6.723735332489014
3.0787317752838135,-7.093625068664551
2.553305149078369,-7.045543193817139
2.0899388790130615,-6.826928615570068
1.977145791053772,-7.062044620513916
2.238494634628296,-7.030253887176514
2.1591689586639404,-6.936617374420166
2.123960494995117,-6.341346263885498
2.1617636680603027,-6.827767848968506
2.645566463470459,-7.081767559051514
2.678910493850708,-6.836646556854248
2.573847770690918,-6.747166633605957
3.193685531616211,-6.8316755294799805
1.933250904083252,-6.970343589782715
2.694537878036499,-6.618561267852783
3.4525668621063232,-6.995269775390625
2.2038660049438477,-6.983740329742432
2.1782143115997314,-7.0071258544921875
3.183481216430664,-6.737484931945801
3.126213788986206,-6.999646186828613
2.3975982666015625,-6.893366813659668
2.1080782413482666,-6.911085605621338
3.018979549407959,-7.005011558532715
2.494565010070801,-6.796476364135742
1.8779644966125488,-6.826810836791992
2.4086849689483643,-6.898738861083984
2.5583231449127197,-6.6787285804748535
2.045421838760376,-6.685552597045898
2.4403462409973145,-6.773256778717041
2.370863199234009,-7.085374355316162
2.652653694152832,-6.574541091918945
3.473423480987549,-6.588549613952637
2.8670308589935303,-6.75255012512207
2.7228119373321533,-6.64430046081543
2.8762423992156982,-6.622380256652832
2.7037625312805176,-7.364616870880127
3.0772974491119385,-7.050696849822998
2.4917843341827393,-6.432143688201904
